Date,PP_CRS_MOI_FD_PER_DS,PP_CRS_MOI_FD_PER_NS,PP_CRS_RUN_TIME_HR_DS,PP_CRS_RUN_TIME_HR_NS, PP_DR_CRS_TC_WT_DS , PP_DR_CRS_TC_WT_NS ,PP_CRS_GR_GPT_DS,PP_CRS_GR_GPT_NS
2020-05-01,3.66,3.66,7.94,9.12,  749 ,  900 ,2.70,2.11
2020-05-02,3.95,3.95,7.89,9.06,  655 ,  900 ,1.71,1.90
2020-05-03,3.13,3.13,10.43,7.57,  776 ,  563 ,1.55,1.73
2020-05-04,4.62,4.62,9.64,8.79,  698 ,  652 ,0.97,1.13
2020-05-05,1.37,1.37,3.75,4.54,  358 ,  415 ,1.76,1.60
2020-05-06,2.31,2.31,1.90,0.67,  207 ,  33 ,1.83,1.26
2020-05-07,1.98,1.98,4.85,5.35,  589 ,  386 ,2.01,1.78
2020-05-08,1.28,1.28,4.55,7.50,  289 ,  726 ,2.18,2.03
2020-05-09,0.96,0.96,5.83,10.84,  447 ,  935 ,1.32,1.76
2020-05-10,0.98,0.98,9.69,9.93,  884 ,  835 ,1.64,1.16
2020-05-11,1.40,1.40,7.09,9.58,  495 ,  700 ,1.21,1.75
2020-05-12,1.71,1.71,2.25,7.06,  238 ,  740 ,1.43,1.07
2020-05-13,1.20,1.20,8.76,8.37,  750 ,  832 ,1.69,1.81
2020-05-14,1.25,1.25,11.23,9.78,  865 ,  840 ,1.66,  1.66 
2020-05-15,1.91,1.91,5.42,9.92,  251 ,  687 ,1.41,  1.33 
2020-05-16,0.83,0.83,5.24,9.33,  418 ,  748 ,2.49,  2.25 
2020-05-17,0.56,0.56,10.63,9.42,  793 ,  742 ,2.01,1.18
2020-05-18,0.98,0.98,7.56,9.18,  520 ,  601 ,1.87,1.32
2020-05-19,0.16,0.16,0.58,10.5,  54 ,  744 ,1.74,1.43
2020-05-20,4.11,4.11,8.96,7.64,  577 ,  705 ,1.56,1.65
2020-05-21,3.93,3.93,3.74,9.13,  320 ,  718 ,1.51,2.44
2020-05-22,3.17,3.17,7.47,7.15,  523 ,  525 ,1.34,1.26
2020-05-23,1.59,1.59,9.26,9.10,  717 ,  687 ,1.86,1.80
2020-05-24,1.53,1.53,8.42,9.01,  625 ,  796 ,1.52,1.77
2020-05-25,2.92,2.92,8.38,8.82,  782 ,  592 ,1.37,2.81
2020-05-26,2.95,2.95,1.00,9.93,  65 ,  464 ,1.38,2.53
2020-05-27,2.42,2.42,8.66,11.38,  778 ,"  1,040 ",2.20,3.05
2020-05-28,2.38,2.38,8.66,10.18,  854 ,  913 ,1.90,1.74
2020-05-29,1.15,1.15,10.07,11.06,  863 ,  925 ,1.45,1.57
2020-05-30,1.46,1.46,7.15,10.82,  695 ,"  1,078 ",1.66,1.88
2020-05-31,2.50,2.50,10.75,10.16,  892 ,  879 ,1.91,1.86